,brain_region_1,value,SPI,brain_region_2
136,proc-54,0.12380326307967109,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
137,proc-55,0.07659126493190652,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
138,proc-56,0.08350429843206385,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
139,proc-57,0.07584412660645452,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
140,proc-58,0.14470084081568207,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
141,proc-59,0.09117925532548382,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
142,proc-60,0.14304635488517814,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
143,proc-61,0.1047064057816186,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
144,proc-62,0.23711515930968502,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
145,proc-63,0.13819733551230745,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
146,proc-64,0.10577474034469372,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
147,proc-65,0.07612281589331663,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
148,proc-66,0.12045100666668965,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
149,proc-67,0.17582215737498239,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
150,proc-68,0.12942865007684734,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
151,proc-69,0.1412639044144705,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
152,proc-70,0.22918634914494476,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
153,proc-71,0.14117675882351294,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
154,proc-72,0.14136068085320908,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
155,proc-73,0.1711975768289818,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
156,proc-74,0.106091792881063,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
157,proc-75,0.1526213499366127,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
158,proc-76,0.10908035566870775,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
159,proc-77,0.1895164382448072,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
160,proc-78,0.11116579374309436,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
161,proc-79,0.0893035951392755,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
162,proc-80,0.10141730747518825,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
163,proc-81,0.17181514496607977,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-1
164,proc-0,0.21293969141551136,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
165,proc-1,0.055473472083271136,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
166,proc-2,,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
167,proc-3,0.08803047979060882,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
168,proc-4,0.1766736789872123,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
169,proc-5,0.12755353943210745,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
170,proc-6,0.11556137264932828,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
171,proc-7,0.1348920374224326,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
172,proc-8,0.147697478779415,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
173,proc-9,0.1489483819449566,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
174,proc-10,0.1304256485329552,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
175,proc-11,0.12429902161187507,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
176,proc-12,0.15183095579760403,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
177,proc-13,0.13304094111194015,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
178,proc-14,0.1149227225898487,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
179,proc-15,0.15565540204936898,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
180,proc-16,0.144270167056808,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
181,proc-17,0.1682768006003984,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
182,proc-18,0.13151225778989056,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
183,proc-19,0.13105073791874805,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
184,proc-20,0.12273920086975705,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
185,proc-21,0.12660199967267874,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
186,proc-22,0.1019023776629222,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
187,proc-23,0.08063848385615349,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
188,proc-24,0.16072214861562203,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
189,proc-25,0.1732008411805875,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
190,proc-26,0.10129884880681284,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
191,proc-27,0.23224629261504112,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
192,proc-28,0.14806256611585414,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
193,proc-29,0.2164500575616879,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
194,proc-30,0.17212779714998017,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
195,proc-31,0.18637390109656324,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
196,proc-32,0.15951204599513916,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
197,proc-33,0.15785859687141646,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
198,proc-34,0.0968235848061801,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
199,proc-35,0.14553910011771595,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
200,proc-36,0.10714033948090651,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
201,proc-37,0.15982017203094312,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
202,proc-38,0.08933218886773626,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
203,proc-39,0.1702655485541128,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
204,proc-40,0.1364177227925396,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
205,proc-41,0.14806608132759536,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
206,proc-42,0.10911279176526616,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
207,proc-43,0.13530036687860714,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
208,proc-44,0.12575267305731888,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,proc-2
